"filename", "language", "YAML", "C++", "comment", "blank", "total"
"/home/hhb/YOLO_ORB_SLAM3-master/Examples/RGB-D/kinect1.yaml", "YAML", 36, 0, 23, 17, 76
"/home/hhb/YOLO_ORB_SLAM3-master/Examples/RGB-D/kinect2.yaml", "YAML", 34, 0, 21, 17, 72
"/home/hhb/YOLO_ORB_SLAM3-master/bedroom.cpp", "C++", 0, 27, 7, 5, 39
"/home/hhb/YOLO_ORB_SLAM3-master/bedroom.yaml", "YAML", 27, 0, 19, 12, 58
"Total", "-", 97, 27, 70, 51, 245
